sitename,address,city,dist,lat,lon
遠東世界中心B3F站,新北市汐止區新台五路一段75~81號(地下三樓機車停車場)(近遠東世界中心大樓),新北市,汐止區,25.0613156,121.6462516
新北汐止福安站,新北市汐止區福安街17號(近秀峰高中）,新北市,汐止區,25.0652192,121.6625763
全家坪林順益店站,新北市坪林區水枊腳路133號(近坪林旅遊服務中心),新北市,坪林區,24.9350844,121.7107613
新北市水柳腳立體停車場站,新北市坪林區水柳腳34之1號(近坪林國民小學),新北市,坪林區,24.935442,121.7104609
東木河茶莊站,新北市坪林區北宜路八段206號(近坪林旅遊服務中心),新北市,坪林區,24.9347305,121.7085395
全家板橋正隆店站,新北市板橋區三民路二段正隆巷34號(近新北地方法院板橋第二院區),新北市,板橋區,25.013613,121.4771998
車麗屋新北板橋店站,新北市板橋區中山路一段277號(近中山路一段/漢生東路口),新北市,板橋區,25.0139254,121.4691726
板橋體育館站,新北市板橋區中正路8號(近新北市板橋區戶政事務所),新北市,板橋區,25.013213,121.4567738
新北市玫瑰中正路停車場站,新北市板橋區中正路與中正路372巷口(近玫瑰公園),新北市,板橋區,25.0243871,121.4543796
宏佳騰板橋文化店站,新北市板橋區文化路一段100號(近文化路一段/漢生東路口),新北市,板橋區,25.0179902,121.4646372
新北市環翠段停車場站,新北市板橋區文新路與仁化街口(近華江橋),新北市,板橋區,25.0346884,121.4791055
新北市四維公園地下停車場站,新北市板橋區四維路177巷3弄11號對面(近四維公園),新北市,板橋區,25.0258695,121.4641297
Gogoro 板橋民生門市站,新北市板橋區民生路三段68-1號(近捷運新埔民生站出口),新北市,板橋區,25.0257675,121.4669546
新北市合安一路機車停車場站,新北市板橋區合安一路與合宜路交叉口(近浮洲合宜住宅),新北市,板橋區,24.9986939,121.4483738
亞旭車業站,新北市板橋區長江路二段282號(近板橋江翠國小),新北市,板橋區,25.0329604,121.4704635
台亞板橋信義路加油站,新北市板橋區信義路267號(近廣權交車中心口),新北市,板橋區,24.9903416,121.4606738
Gogoro 板橋南雅西服務中心站,新北市板橋區南雅西路二段247號(近南雅西路二段/大仁街口),新北市,板橋區,25.0145567,121.4516058
台北捷運亞東醫院站,新北市板橋區南雅南路二段捷運站1號出口(近元智紀念館),新北市,板橋區,24.9988421,121.4526873
新北市新埔立體停車場站,新北市板橋區英士路199號(近新北市聯合醫院),新北市,板橋區,25.023087,121.4588689
新北市國慶停車場站,新北市板橋區重慶路265號對面停車場(近重慶公園),新北市,板橋區,24.999861,121.4637284
愛買板橋南雅店站,新北市板橋區貴興路101號(近新北市立圖書館總館),新北市,板橋區,25.0017697,121.4569554
北基新海加油站,新北市板橋區新海路137號(近新埔國中),新北市,板橋區,25.0232696,121.4603252
新北市長江停車場站,新北市板橋區溪頭街與民生路交叉口(近大漢橋下機車停車場),新北市,板橋區,25.0315619,121.4639353
Gogoro 板橋萬板服務中心站,新北市板橋區萬板路9號(近萬板路/民生路二段口),新北市,板橋區,25.0209858,121.4703909
特專三臨時平面停車場站,新北市板橋區漢生東路64號(近漢生東路油庫口麵線對面),新北市,板橋區,25.0162974,121.4662393
Gogoro 板橋廣權交車中心站,新北市板橋區廣權路6號(近信義派出所),新北市,板橋區,24.9910578,121.4609055
台北捷運府中站,新北市板橋區縣民大道一段捷運站2號出口(近捷運站機車轉乘停車場),新北市,板橋區,25.008388,121.4590138
板橋市民廣場地下停車場B1F站,新北市板橋區縣民大道二段22號(地下一樓機車停車場)(近新北市政府),新北市,板橋區,25.013662,121.464705
Gogoro 板橋館前店站,新北市板橋區館前東路26號(近誠品生活板橋店),新北市,板橋區,25.0071058,121.4604046
HiLife 新北板龍店站,"新北市板橋區龍興街73巷2,4號(近台鐵浮洲站)",新北市,板橋區,25.0022441,121.4439105
台北捷運江子翠站,新北市板橋區雙十路二段捷運站3號出口(近捷運站機車轉乘停車場),新北市,板橋區,25.0241172,121.470364
林口八德路站,新北市林口區八德路與文化二路一段交叉口(近八德路/文化二路一段交叉口),新北市,林口區,25.0657613,121.3641814
新北市停三平面停車場站,新北市林口區中山路99號(近中山路/中山路97巷口),新北市,林口區,25.0787529,121.3892843
7-ELEVEN 至富店站,新北市林口區中湖里14鄰中湖40號之9(近中湖路/中華路交叉口),新北市,林口區,25.0906734,121.3829817
新北市林口區公所站,新北市林口區仁愛路1段378號(近仁愛路一段/中興街交叉口),新北市,林口區,25.0763143,121.3928657
HiLife 林口麗園店站,新北市林口區文化一路一段52號(近林口區農會),新北市,林口區,25.0695834,121.3714901
全聯林口麗都店站,新北市林口區文化二路一段106號(近林口三井outlet),新北市,林口區,25.0702421,121.3674321
山隆林口加油站,新北市林口區文化二路二段553號(近中華路/文化二路口),新北市,林口區,25.0904176,121.3835367
林口四維公園站,新北市林口區四維路與佳林路交叉口(近四維路/佳林路交叉口),新北市,林口區,25.0753831,121.381213
車太炫自助洗車林口民權店站,新北市林口區民權路189號(近民權路/文化三路二段211巷口),新北市,林口區,25.0853185,121.3748247
全聯林口竹林店站,新北市林口區竹林路12號(近竹林路/中正路口),新北市,林口區,25.0772758,121.3870372
新北市林口停二平面停車場站,新北市林口區竹林路與竹林路281巷交叉口(近竹林山觀音寺),新北市,林口區,25.0814143,121.3899079
7-ELEVEN 忠柯店站,新北市林口區忠孝路642號(近忠孝路/忠孝路646巷口),新北市,林口區,25.0683371,121.3788016
全家林口文義店站,新北市林口區信義路289號(近信義路/文化三路二段口),新北市,林口區,25.0819734,121.3754147
林口南勢公園站,新北市林口區南勢二街154號(近林口區南勢市民活動中心),新北市,林口區,25.0738408,121.3589981
